Frame Number,Time Stamp (ms),Buffer Index
0,-6,0
1,35,0
2,61,0
3,95,0
4,129,0
5,163,0
6,196,0
7,229,0
8,264,0
9,297,0
10,330,0
11,364,0
12,398,0
13,432,0
14,465,0
15,498,0
16,533,0
17,565,0
18,599,0
19,633,0
20,666,0
21,701,0
22,734,0
23,768,0
24,801,0
25,835,0
26,869,0
27,902,0
28,935,0
29,969,0
30,1003,0
31,1038,0
32,1071,0
33,1104,0
34,1138,0
35,1172,0
36,1204,0
37,1239,0
38,1272,0
39,1306,0
40,1339,0
41,1373,0
42,1406,0
43,1441,0
44,1473,0
45,1505,0
46,1539,0
47,1572,0
48,1606,0
49,1639,0
50,1673,0
51,1706,0
52,1741,0
53,1773,0
54,1806,0
55,1840,0
56,1875,0
57,1908,0
58,1941,0
59,1975,0
60,2009,0
61,2042,0
62,2075,0
63,2109,0
64,2163,0
65,2177,0
66,2210,0
67,2253,0
68,2278,0
69,2313,0
70,2344,0
71,2378,0
72,2411,0
73,2444,0
74,2478,0
75,2512,0
76,2552,0
77,2579,0
78,2613,0
79,2647,0
80,2681,0
81,2713,0
82,2747,0
83,2780,0
84,2816,0
85,2848,0
86,2883,0
87,2915,0
88,2949,0
89,2983,0
90,3017,0
91,3051,0
92,3084,0
93,3116,0
94,3152,0
95,3185,0
96,3218,0
97,3252,0
98,3285,0
99,3318,0
100,3353,0
101,3386,0
102,3420,0
103,3453,0
104,3486,0
105,3521,0
106,3554,0
107,3588,0
108,3621,0
109,3655,0
110,3690,0
111,3723,0
112,3757,0
113,3791,0
114,3823,0
115,3857,0
116,3889,0
117,3924,0
118,3957,0
119,3990,0
120,4024,0
121,4057,0
122,4092,0
123,4124,0
124,4158,0
125,4193,0
126,4224,0
127,4258,0
128,4292,0
129,4325,0
130,4359,0
131,4392,0
132,4426,0
133,4459,0
134,4493,0
135,4526,0
136,4560,0
137,4593,0
138,4626,0
139,4660,0
140,4694,0
141,4728,0
142,4761,0
143,4795,0
144,4828,0
145,4862,0
146,4896,0
147,4930,0
148,4963,0
149,4996,0
150,5029,0
151,5064,0
152,5097,0
153,5131,0
154,5164,0
